restaurant_id,restaurant_name,city,zone,cuisine_type,restaurant_tier,avg_prep_time_mins,rating
REST_0001,Restaurant 1,Sharjah,Zone A,Indian,QSR,44,4.8
REST_0002,Restaurant 2,Ajman,Zone A,Indian,Casual Dining,56,3.7
REST_0003,Restaurant 3,Abu Dhabi,Zone C,Asian,Casual Dining,36,3.3
REST_0004,Restaurant 4,Abu Dhabi,Zone F,Indian,QSR,38,4.5
REST_0005,Restaurant 5,Ajman,Zone A,Asian,QSR,14,4.5
REST_0006,Restaurant 6,Abu Dhabi,Zone D,Western,Premium,10,5.0
REST_0007,Restaurant 7,Abu Dhabi,Zone C,Emirati,QSR,52,3.3
REST_0008,Restaurant 8,Dubai,Zone B,Western,QSR,14,4.4
REST_0009,Restaurant 9,Abu Dhabi,Zone B,Indian,Casual Dining,38,3.8
REST_0010,Restaurant 10,Sharjah,Zone B,Indian,Casual Dining,26,4.8
REST_0011,Restaurant 11,Sharjah,Zone A,Asian,QSR,58,3.8
REST_0012,Restaurant 12,Dubai,Zone C,Indian,Premium,46,3.9
REST_0013,Restaurant 13,Dubai,Zone B,Indian,Casual Dining,33,3.3
REST_0014,Restaurant 14,Abu Dhabi,Zone C,Asian,QSR,36,3.6
REST_0015,Restaurant 15,Dubai,Zone A,Asian,Casual Dining,18,3.8
REST_0016,Restaurant 16,Dubai,Zone D,Emirati,Casual Dining,47,3.0
REST_0017,Restaurant 17,Ajman,Zone D,Asian,QSR,22,3.9
REST_0018,Restaurant 18,Dubai,Zone D,Healthy,Casual Dining,35,3.7
REST_0019,Restaurant 19,Sharjah,Zone A,Emirati,Casual Dining,20,4.6
REST_0020,Restaurant 20,Abu Dhabi,Zone B,Indian,Casual Dining,33,3.2
REST_0021,Restaurant 21,Dubai,Zone A,Asian,Casual Dining,42,4.5
REST_0022,Restaurant 22,Ajman,Zone C,Western,Casual Dining,58,4.4
REST_0023,Restaurant 23,Abu Dhabi,Zone D,Western,QSR,15,3.5
REST_0024,Restaurant 24,Abu Dhabi,Zone C,Asian,Casual Dining,44,3.2
REST_0025,Restaurant 25,Abu Dhabi,Zone A,Asian,Casual Dining,25,4.7
REST_0026,Restaurant 26,Ajman,Zone E,Asian,Premium,22,3.5
REST_0027,Restaurant 27,Sharjah,Zone E,Indian,Casual Dining,53,3.3
REST_0028,Restaurant 28,Ajman,Zone A,Healthy,Casual Dining,20,3.7
REST_0029,Restaurant 29,Ajman,Zone B,Asian,Fine Dining,32,3.8
REST_0030,Restaurant 30,Abu Dhabi,Zone F,Indian,QSR,11,3.7
REST_0031,Restaurant 31,Ajman,Zone C,Indian,QSR,39,5.0
REST_0032,Restaurant 32,Abu Dhabi,Zone A,Emirati,QSR,28,4.8
REST_0033,Restaurant 33,Dubai,Zone A,Western,QSR,49,4.7
REST_0034,Restaurant 34,Dubai,Zone E,Emirati,Casual Dining,54,3.8
REST_0035,Restaurant 35,Ajman,Zone D,Emirati,QSR,55,4.9
REST_0036,Restaurant 36,Sharjah,Zone D,Emirati,QSR,56,4.4
REST_0037,Restaurant 37,Abu Dhabi,Zone F,Western,QSR,58,4.7
REST_0038,Restaurant 38,Ajman,Zone B,Indian,Casual Dining,24,4.0
REST_0039,Restaurant 39,Ajman,Zone B,Indian,Premium,51,3.3
REST_0040,Restaurant 40,Sharjah,Zone F,Western,Premium,42,4.8
REST_0041,Restaurant 41,Abu Dhabi,Zone B,Asian,QSR,53,4.0
REST_0042,Restaurant 42,Ajman,Zone E,Western,Casual Dining,50,4.9
REST_0043,Restaurant 43,Sharjah,Zone A,Asian,QSR,14,3.5
REST_0044,Restaurant 44,Abu Dhabi,Zone B,Western,QSR,31,5.0
REST_0045,Restaurant 45,Dubai,Zone E,Indian,Premium,36,3.4
REST_0046,Restaurant 46,Sharjah,Zone C,Indian,Casual Dining,56,3.7
REST_0047,Restaurant 47,Ajman,Zone A,Western,QSR,44,4.2
REST_0048,Restaurant 48,Dubai,Zone F,Indian,Casual Dining,28,4.4
REST_0049,Restaurant 49,Abu Dhabi,Zone C,Western,QSR,48,4.4
REST_0050,Restaurant 50,Sharjah,Zone D,Asian,QSR,16,4.0
REST_0051,Restaurant 51,Dubai,Zone D,Healthy,Casual Dining,48,3.2
REST_0052,Restaurant 52,Dubai,Zone A,Emirati,QSR,43,4.0
REST_0053,Restaurant 53,Ajman,Zone B,Asian,Premium,43,3.7
REST_0054,Restaurant 54,Dubai,Zone A,Western,Casual Dining,36,4.3
REST_0055,Restaurant 55,Ajman,Zone B,Indian,Premium,53,3.4
REST_0056,Restaurant 56,Abu Dhabi,Zone F,Asian,Premium,14,3.8
REST_0057,Restaurant 57,Ajman,Zone D,Western,Casual Dining,13,4.9
REST_0058,Restaurant 58,Sharjah,Zone A,Western,Casual Dining,16,3.2
REST_0059,Restaurant 59,Dubai,Zone A,Asian,QSR,57,4.2
REST_0060,Restaurant 60,Abu Dhabi,Zone F,Indian,Casual Dining,12,3.2
REST_0061,Restaurant 61,Ajman,Zone B,Emirati,QSR,30,3.3
REST_0062,Restaurant 62,Ajman,Zone D,Indian,QSR,43,4.2
REST_0063,Restaurant 63,Ajman,Zone D,Emirati,Casual Dining,58,3.9
REST_0064,Restaurant 64,Abu Dhabi,Zone B,Western,Casual Dining,18,4.1
REST_0065,Restaurant 65,Abu Dhabi,Zone F,Asian,Fine Dining,29,4.8
REST_0066,Restaurant 66,Sharjah,Zone B,Indian,QSR,49,4.6
REST_0067,Restaurant 67,Abu Dhabi,Zone F,Indian,Casual Dining,21,4.8
REST_0068,Restaurant 68,Ajman,Zone B,Emirati,Premium,48,4.2
REST_0069,Restaurant 69,Abu Dhabi,Zone D,Emirati,QSR,55,4.0
REST_0070,Restaurant 70,Ajman,Zone D,Western,QSR,37,3.9
REST_0071,Restaurant 71,Sharjah,Zone A,Asian,QSR,57,4.5
REST_0072,Restaurant 72,Sharjah,Zone F,Western,Premium,42,4.0
REST_0073,Restaurant 73,Ajman,Zone D,Asian,QSR,19,3.2
REST_0074,Restaurant 74,Abu Dhabi,Zone F,Western,QSR,20,3.3
REST_0075,Restaurant 75,Abu Dhabi,Zone F,Asian,Casual Dining,16,3.7
REST_0076,Restaurant 76,Dubai,Zone C,Emirati,Premium,27,3.1
REST_0077,Restaurant 77,Sharjah,Zone C,Western,Premium,28,3.5
REST_0078,Restaurant 78,Sharjah,Zone B,Asian,Casual Dining,23,4.3
REST_0079,Restaurant 79,Ajman,Zone F,Emirati,Premium,26,3.0
REST_0080,Restaurant 80,Dubai,Zone B,Asian,QSR,32,4.2
REST_0081,Restaurant 81,Abu Dhabi,Zone B,Indian,QSR,28,4.5
REST_0082,Restaurant 82,Ajman,Zone A,Indian,Premium,54,3.3
REST_0083,Restaurant 83,Abu Dhabi,Zone C,Western,Casual Dining,12,3.4
REST_0084,Restaurant 84,Abu Dhabi,Zone C,Emirati,QSR,43,3.1
REST_0085,Restaurant 85,Abu Dhabi,Zone D,Emirati,Casual Dining,34,4.0
REST_0086,Restaurant 86,Dubai,Zone C,Western,Premium,50,4.3
REST_0087,Restaurant 87,Sharjah,Zone D,Indian,Premium,40,3.9
REST_0088,Restaurant 88,Sharjah,Zone F,Indian,Premium,48,3.8
REST_0089,Restaurant 89,Abu Dhabi,Zone A,Asian,Casual Dining,23,3.9
REST_0090,Restaurant 90,Dubai,Zone B,Emirati,Premium,46,4.6
REST_0091,Restaurant 91,Abu Dhabi,Zone B,Healthy,Casual Dining,56,3.1
REST_0092,Restaurant 92,Abu Dhabi,Zone F,Indian,Casual Dining,29,4.6
REST_0093,Restaurant 93,Ajman,Zone D,Emirati,Premium,41,4.3
REST_0094,Restaurant 94,Dubai,Zone E,Western,Casual Dining,42,3.5
REST_0095,Restaurant 95,Dubai,Zone F,Indian,QSR,40,4.0
REST_0096,Restaurant 96,Sharjah,Zone D,Asian,QSR,16,3.1
REST_0097,Restaurant 97,Sharjah,Zone F,Emirati,Casual Dining,14,3.8
REST_0098,Restaurant 98,Abu Dhabi,Zone A,Indian,QSR,13,3.3
REST_0099,Restaurant 99,Ajman,Zone F,Emirati,QSR,20,3.0
REST_0100,Restaurant 100,Ajman,Zone F,Indian,QSR,28,3.7
REST_0101,Restaurant 101,Ajman,Zone C,Indian,QSR,47,4.5
REST_0102,Restaurant 102,Abu Dhabi,Zone D,Indian,Casual Dining,29,4.8
REST_0103,Restaurant 103,Sharjah,Zone A,Emirati,QSR,36,4.3
REST_0104,Restaurant 104,Dubai,Zone B,Asian,QSR,38,3.8
REST_0105,Restaurant 105,Abu Dhabi,Zone E,Emirati,Casual Dining,27,5.0
REST_0106,Restaurant 106,Ajman,Zone E,Asian,Premium,46,3.6
REST_0107,Restaurant 107,Ajman,Zone D,Asian,QSR,56,3.4
REST_0108,Restaurant 108,Abu Dhabi,Zone F,Emirati,QSR,34,3.9
REST_0109,Restaurant 109,Ajman,Zone C,Asian,Premium,29,4.0
REST_0110,Restaurant 110,Dubai,Zone F,Emirati,QSR,15,3.7
REST_0111,Restaurant 111,Abu Dhabi,Zone D,Indian,Premium,45,4.4
REST_0112,Restaurant 112,Dubai,Zone E,Western,QSR,58,3.4
REST_0113,Restaurant 113,Sharjah,Zone E,Western,QSR,24,4.0
REST_0114,Restaurant 114,Ajman,Zone F,Emirati,QSR,27,4.0
REST_0115,Restaurant 115,Ajman,Zone F,Indian,QSR,47,4.6
REST_0116,Restaurant 116,Sharjah,Zone F,Western,Premium,34,4.9
REST_0117,Restaurant 117,Sharjah,Zone B,Asian,Fine Dining,29,4.3
REST_0118,Restaurant 118,Sharjah,Zone C,Asian,Fine Dining,31,3.6
REST_0119,Restaurant 119,Ajman,Zone C,Indian,Premium,21,4.4
REST_0120,Restaurant 120,Sharjah,Zone E,Indian,Premium,50,3.5
REST_0121,Restaurant 121,Abu Dhabi,Zone E,Emirati,Casual Dining,49,4.9
REST_0122,Restaurant 122,Sharjah,Zone D,Western,Premium,56,4.6
REST_0123,Restaurant 123,Abu Dhabi,Zone D,Asian,QSR,42,3.9
REST_0124,Restaurant 124,Abu Dhabi,Zone B,Emirati,QSR,38,4.6
REST_0125,Restaurant 125,Dubai,Zone E,Indian,Casual Dining,11,3.8
REST_0126,Restaurant 126,Abu Dhabi,Zone D,Western,Premium,35,3.1
REST_0127,Restaurant 127,Abu Dhabi,Zone B,Emirati,Casual Dining,41,4.4
REST_0128,Restaurant 128,Sharjah,Zone C,Emirati,Premium,12,3.8
REST_0129,Restaurant 129,Ajman,Zone E,Asian,Casual Dining,39,4.9
REST_0130,Restaurant 130,Sharjah,Zone A,Western,Casual Dining,28,3.6
REST_0131,Restaurant 131,Dubai,Zone E,Asian,Fine Dining,19,4.7
REST_0132,Restaurant 132,Dubai,Zone D,Emirati,QSR,34,4.4
REST_0133,Restaurant 133,Ajman,Zone E,Asian,Premium,55,4.7
REST_0134,Restaurant 134,Abu Dhabi,Zone A,Emirati,Casual Dining,28,3.6
REST_0135,Restaurant 135,Dubai,Zone E,Indian,Casual Dining,52,3.9
REST_0136,Restaurant 136,Ajman,Zone D,Western,Premium,30,4.6
REST_0137,Restaurant 137,Sharjah,Zone C,Western,Casual Dining,15,4.3
REST_0138,Restaurant 138,Sharjah,Zone D,Western,Casual Dining,23,3.7
REST_0139,Restaurant 139,Sharjah,Zone B,Western,Casual Dining,17,4.0
REST_0140,Restaurant 140,Abu Dhabi,Zone D,Healthy,QSR,11,5.0
REST_0141,Restaurant 141,Abu Dhabi,Zone B,Emirati,Casual Dining,27,4.5
REST_0142,Restaurant 142,Ajman,Zone E,Indian,QSR,31,4.2
REST_0143,Restaurant 143,Dubai,Zone B,Emirati,Premium,39,4.7
REST_0144,Restaurant 144,Sharjah,Zone F,Indian,QSR,45,3.9
REST_0145,Restaurant 145,Abu Dhabi,Zone E,Western,Casual Dining,37,4.9
REST_0146,Restaurant 146,Abu Dhabi,Zone B,Emirati,Premium,44,4.1
REST_0147,Restaurant 147,Dubai,Zone D,Indian,Premium,11,3.7
REST_0148,Restaurant 148,Sharjah,Zone A,Emirati,Casual Dining,45,3.2
REST_0149,Restaurant 149,Sharjah,Zone E,Emirati,Casual Dining,27,3.8
REST_0150,Restaurant 150,Dubai,Zone B,Asian,QSR,52,4.1
REST_0151,Restaurant 151,Ajman,Zone A,Asian,QSR,18,4.4
REST_0152,Restaurant 152,Ajman,Zone B,Asian,QSR,37,4.8
REST_0153,Restaurant 153,Dubai,Zone B,Healthy,Premium,17,4.9
REST_0154,Restaurant 154,Dubai,Zone B,Indian,QSR,17,3.2
REST_0155,Restaurant 155,Ajman,Zone D,Western,Casual Dining,14,4.2
REST_0156,Restaurant 156,Dubai,Zone B,Indian,QSR,22,4.3
REST_0157,Restaurant 157,Sharjah,Zone A,Indian,Casual Dining,16,3.3
REST_0158,Restaurant 158,Ajman,Zone F,Emirati,Casual Dining,30,4.1
REST_0159,Restaurant 159,Ajman,Zone B,Asian,Premium,38,3.7
REST_0160,Restaurant 160,Ajman,Zone F,Healthy,QSR,46,3.2
REST_0161,Restaurant 161,Sharjah,Zone C,Asian,QSR,54,3.1
REST_0162,Restaurant 162,Dubai,Zone E,Asian,QSR,57,4.5
REST_0163,Restaurant 163,Abu Dhabi,Zone D,Indian,QSR,23,4.2
REST_0164,Restaurant 164,Abu Dhabi,Zone C,Healthy,Casual Dining,46,4.4
REST_0165,Restaurant 165,Sharjah,Zone C,Indian,QSR,13,4.4
REST_0166,Restaurant 166,Sharjah,Zone A,Asian,QSR,31,3.3
REST_0167,Restaurant 167,Dubai,Zone A,Asian,Premium,20,3.3
REST_0168,Restaurant 168,Abu Dhabi,Zone F,Asian,Casual Dining,43,3.5
REST_0169,Restaurant 169,Ajman,Zone F,Western,QSR,54,3.8
REST_0170,Restaurant 170,Sharjah,Zone D,Western,QSR,25,4.9
REST_0171,Restaurant 171,Abu Dhabi,Zone D,Indian,QSR,18,4.3
REST_0172,Restaurant 172,Ajman,Zone E,Asian,Casual Dining,25,3.5
REST_0173,Restaurant 173,Ajman,Zone B,Emirati,Casual Dining,48,3.1
REST_0174,Restaurant 174,Dubai,Zone D,Asian,Casual Dining,25,4.4
REST_0175,Restaurant 175,Sharjah,Zone D,Indian,QSR,40,4.3
REST_0176,Restaurant 176,Ajman,Zone F,Asian,Casual Dining,40,4.4
REST_0177,Restaurant 177,Sharjah,Zone B,Indian,Casual Dining,22,3.5
REST_0178,Restaurant 178,Abu Dhabi,Zone E,Indian,Casual Dining,14,4.0
REST_0179,Restaurant 179,Abu Dhabi,Zone A,Asian,Premium,56,3.7
REST_0180,Restaurant 180,Sharjah,Zone E,Asian,QSR,48,4.6
REST_0181,Restaurant 181,Ajman,Zone B,Indian,QSR,27,3.1
REST_0182,Restaurant 182,Ajman,Zone A,Western,Premium,29,3.6
REST_0183,Restaurant 183,Abu Dhabi,Zone A,Healthy,QSR,11,4.2
REST_0184,Restaurant 184,Ajman,Zone A,Healthy,QSR,49,3.4
REST_0185,Restaurant 185,Ajman,Zone E,Emirati,Casual Dining,39,4.3
REST_0186,Restaurant 186,Abu Dhabi,Zone F,Indian,Casual Dining,19,3.3
REST_0187,Restaurant 187,Dubai,Zone B,Indian,Premium,51,3.0
REST_0188,Restaurant 188,Abu Dhabi,Zone E,Emirati,QSR,20,4.7
REST_0189,Restaurant 189,Sharjah,Zone E,Indian,QSR,38,3.7
REST_0190,Restaurant 190,Dubai,Zone C,Indian,QSR,49,3.3
REST_0191,Restaurant 191,Sharjah,Zone D,Asian,Casual Dining,25,3.3
REST_0192,Restaurant 192,Dubai,Zone E,Indian,QSR,57,4.8
REST_0193,Restaurant 193,Dubai,Zone C,Emirati,Casual Dining,37,4.3
REST_0194,Restaurant 194,Abu Dhabi,Zone F,Emirati,QSR,26,4.9
REST_0195,Restaurant 195,Abu Dhabi,Zone F,Emirati,QSR,47,4.6
REST_0196,Restaurant 196,Sharjah,Zone B,Emirati,Casual Dining,59,4.5
REST_0197,Restaurant 197,Abu Dhabi,Zone C,Indian,Fine Dining,58,4.0
REST_0198,Restaurant 198,Dubai,Zone E,Western,Premium,53,4.6
REST_0199,Restaurant 199,Abu Dhabi,Zone B,Asian,Fine Dining,24,3.8
REST_0200,Restaurant 200,Sharjah,Zone C,Western,Casual Dining,40,4.7
REST_0201,Restaurant 201,Dubai,Zone E,Indian,QSR,16,4.5
REST_0202,Restaurant 202,Sharjah,Zone B,Western,QSR,55,4.4
REST_0203,Restaurant 203,Ajman,Zone B,Healthy,Casual Dining,39,3.7
REST_0204,Restaurant 204,Abu Dhabi,Zone D,Indian,QSR,45,4.3
REST_0205,Restaurant 205,Dubai,Zone F,Indian,QSR,58,4.0
REST_0206,Restaurant 206,Sharjah,Zone E,Indian,QSR,35,3.9
REST_0207,Restaurant 207,Abu Dhabi,Zone D,Asian,Casual Dining,20,5.0
REST_0208,Restaurant 208,Abu Dhabi,Zone B,Indian,QSR,15,4.0
REST_0209,Restaurant 209,Sharjah,Zone B,Emirati,QSR,51,3.1
REST_0210,Restaurant 210,Dubai,Zone C,Asian,Casual Dining,38,4.3
REST_0211,Restaurant 211,Sharjah,Zone D,Asian,QSR,37,4.5
REST_0212,Restaurant 212,Abu Dhabi,Zone A,Western,Casual Dining,24,4.8
REST_0213,Restaurant 213,Sharjah,Zone E,Asian,Casual Dining,38,4.3
REST_0214,Restaurant 214,Ajman,Zone F,Asian,QSR,15,3.0
REST_0215,Restaurant 215,Abu Dhabi,Zone D,Emirati,Premium,57,3.2
REST_0216,Restaurant 216,Dubai,Zone B,Emirati,QSR,21,3.3
REST_0217,Restaurant 217,Ajman,Zone C,Indian,Casual Dining,25,3.4
REST_0218,Restaurant 218,Sharjah,Zone E,Indian,Casual Dining,55,4.6
REST_0219,Restaurant 219,Dubai,Zone F,Indian,Fine Dining,47,3.6
REST_0220,Restaurant 220,Ajman,Zone E,Asian,Casual Dining,18,3.6
REST_0221,Restaurant 221,Sharjah,Zone C,Indian,QSR,31,4.5
REST_0222,Restaurant 222,Ajman,Zone B,Western,Casual Dining,42,3.8
REST_0223,Restaurant 223,Abu Dhabi,Zone F,Emirati,QSR,35,3.1
REST_0224,Restaurant 224,Dubai,Zone A,Indian,Casual Dining,49,4.2
REST_0225,Restaurant 225,Ajman,Zone C,Western,QSR,16,3.3
REST_0226,Restaurant 226,Abu Dhabi,Zone A,Asian,Casual Dining,55,4.1
REST_0227,Restaurant 227,Sharjah,Zone D,Asian,QSR,41,4.6
REST_0228,Restaurant 228,Abu Dhabi,Zone E,Western,Casual Dining,49,4.9
REST_0229,Restaurant 229,Sharjah,Zone F,Emirati,Casual Dining,52,3.1
REST_0230,Restaurant 230,Dubai,Zone B,Indian,QSR,33,3.6
REST_0231,Restaurant 231,Abu Dhabi,Zone A,Indian,Premium,50,4.3
REST_0232,Restaurant 232,Abu Dhabi,Zone B,Western,Casual Dining,48,3.6
REST_0233,Restaurant 233,Sharjah,Zone D,Asian,QSR,47,3.9
REST_0234,Restaurant 234,Ajman,Zone A,Indian,QSR,59,3.0
REST_0235,Restaurant 235,Sharjah,Zone B,Indian,Casual Dining,46,4.4
REST_0236,Restaurant 236,Ajman,Zone B,Western,QSR,28,4.8
REST_0237,Restaurant 237,Sharjah,Zone D,Asian,Premium,52,5.0
REST_0238,Restaurant 238,Dubai,Zone C,Healthy,QSR,14,4.7
REST_0239,Restaurant 239,Ajman,Zone F,Asian,QSR,39,3.1
REST_0240,Restaurant 240,Abu Dhabi,Zone D,Indian,Premium,34,4.3
REST_0241,Restaurant 241,Ajman,Zone A,Western,Fine Dining,39,4.0
REST_0242,Restaurant 242,Sharjah,Zone A,Indian,QSR,34,4.9
REST_0243,Restaurant 243,Sharjah,Zone E,Asian,Casual Dining,18,4.8
REST_0244,Restaurant 244,Ajman,Zone B,Asian,QSR,36,5.0
REST_0245,Restaurant 245,Abu Dhabi,Zone F,Asian,Casual Dining,33,4.7
REST_0246,Restaurant 246,Dubai,Zone A,Emirati,Premium,49,4.1
REST_0247,Restaurant 247,Abu Dhabi,Zone C,Indian,QSR,52,4.4
REST_0248,Restaurant 248,Ajman,Zone C,Healthy,QSR,47,4.9
REST_0249,Restaurant 249,Sharjah,Zone D,Emirati,QSR,24,4.2
REST_0250,Restaurant 250,Abu Dhabi,Zone A,Asian,QSR,47,4.7
